Stage,Date & Time (US PDT/UTC-7),Team 1,Score 1,Score 2,Team 2,Match #,Location,Match ID,Status,First Half Start,Second Half Start
Group,"Tuesday, June 23, at 7:00 PM",🇨🇴 Colombia,,,🇨🇩 Congo DR,48,"Estadio Akron, Zapopan",537406,TIMED,,
Group,"Wednesday, June 24, at 12:00 PM",🇨🇭 Switzerland,,,🇨🇦 Canada,51,"BC Place, Vancouver",537337,TIMED,,
Group,"Wednesday, June 24, at 12:00 PM",🇧🇦 Bosnia-Herzegovina,,,🇶🇦 Qatar,52,"Lumen Field, Seattle",537338,TIMED,,
Group,"Wednesday, June 24, at 3:00 PM",🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,,,🇧🇷 Brazil,49,"Hard Rock Stadium, Miami Gardens",537343,TIMED,,
Group,"Wednesday, June 24, at 3:00 PM",🇲🇦 Morocco,,,🇭🇹 Haiti,50,"Mercedes-Benz Stadium, Atlanta",537344,TIMED,,
Group,"Wednesday, June 24, at 6:00 PM",🇨🇿 Czechia,,,🇲🇽 Mexico,53,"Estadio Azteca, Mexico City",537331,TIMED,,
Group,"Wednesday, June 24, at 6:00 PM",🇿🇦 South Africa,,,🇰🇷 South Korea,54,"Estadio BBVA, Guadalupe",537332,TIMED,,
Group,"Thursday, June 25, at 1:00 PM",🇨🇼 Curaçao,,,🇨🇮 Ivory Coast,55,"Lincoln Financial Field, Philadelphia",537356,TIMED,,
Group,"Thursday, June 25, at 1:00 PM",🇪🇨 Ecuador,,,🇩🇪 Germany,56,"MetLife Stadium, East Rutherford",537355,TIMED,,
Group,"Thursday, June 25, at 4:00 PM",🇯🇵 Japan,,,🇸🇪 Sweden,57,"AT&T Stadium, Arlington",537362,TIMED,,
Group,"Thursday, June 25, at 4:00 PM",🇹🇳 Tunisia,,,🇳🇱 Netherlands,58,"Arrowhead Stadium, Kansas City",537361,TIMED,,
Group,"Thursday, June 25, at 7:00 PM",🇹🇷 Turkey,,,🇺🇸 United States,59,"SoFi Stadium, Inglewood",537349,TIMED,,
Group,"Thursday, June 25, at 7:00 PM",🇵🇾 Paraguay,,,🇦🇺 Australia,60,"Levi's Stadium, Santa Clara",537350,TIMED,,
Group,"Friday, June 26, at 12:00 PM",🇳🇴 Norway,,,🇫🇷 France,61,"Gillette Stadium, Foxborough",537395,TIMED,,
Group,"Friday, June 26, at 12:00 PM",🇸🇳 Senegal,,,🇮🇶 Iraq,62,"BMO Field, Toronto",537396,TIMED,,
Group,"Friday, June 26, at 5:00 PM",🇨🇻 Cape Verde Islands,,,🇸🇦 Saudi Arabia,65,"NRG Stadium, Houston",537374,TIMED,,
Group,"Friday, June 26, at 5:00 PM",🇺🇾 Uruguay,,,🇪🇸 Spain,66,"Estadio Akron, Zapopan",537373,TIMED,,
Group,"Friday, June 26, at 8:00 PM",🇪🇬 Egypt,,,🇮🇷 Iran,63,"Lumen Field, Seattle",537368,TIMED,,
Group,"Friday, June 26, at 8:00 PM",🇳🇿 New Zealand,,,🇧🇪 Belgium,64,"BC Place, Vancouver",537367,TIMED,,
Group,"Saturday, June 27, at 2:00 PM",🇵🇦 Panama,,,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,67,"MetLife Stadium, East Rutherford",537413,TIMED,,
Group,"Saturday, June 27, at 2:00 PM",🇭🇷 Croatia,,,🇬🇭 Ghana,68,"Lincoln Financial Field, Philadelphia",537414,TIMED,,
Group,"Saturday, June 27, at 4:30 PM",🇨🇴 Colombia,,,🇵🇹 Portugal,71,"Hard Rock Stadium, Miami Gardens",537407,TIMED,,
Group,"Saturday, June 27, at 4:30 PM",🇨🇩 Congo DR,,,🇺🇿 Uzbekistan,72,"Mercedes-Benz Stadium, Atlanta",537408,TIMED,,
Group,"Saturday, June 27, at 7:00 PM",🇩🇿 Algeria,,,🇦🇹 Austria,69,"Arrowhead Stadium, Kansas City",537402,TIMED,,
Group,"Saturday, June 27, at 7:00 PM",🇯🇴 Jordan,,,🇦🇷 Argentina,70,"AT&T Stadium, Arlington",537401,TIMED,,
Round of 32,"Sunday, June 28, at 12:00 PM",[2A],,,[2B],73,"Sofi Stadium, Inglewood",,,,
Round of 32,"Monday, June 29, at 10:00 AM",[1C],,,[2F],76,"NRG Stadium, Houston",,,,
Round of 32,"Monday, June 29, at 1:30 PM",[1E],,,[3ABCDF],74,"Gillette Stadium, Foxborough",,,,
Round of 32,"Monday, June 29, at 6:00 PM",[1F],,,[2C],75,"Estadio BBVA, Guadalupe",,,,
Round of 32,"Tuesday, June 30, at 11:00 AM",[2E],,,[2I],78,"AT&T Stadium, Arlington",,,,
Round of 32,"Tuesday, June 30, at 2:00 PM",[1I],,,[3CDFGH],77,"MetLife Stadium, East Rutherford",,,,
Round of 32,"Tuesday, June 30, at 6:00 PM",[1A],,,[3CEFHI],79,"Estadio Azteca, Mexico City",,,,
Round of 32,"Wednesday, July 1, at 9:00 AM",[1L],,,[3EHIJK],80,"Mercedes-Benz Stadium, Atlanta",,,,
Round of 32,"Wednesday, July 1, at 1:00 PM",[1G],,,[3AEHIJ],82,"Lumen Field, Seattle",,,,
Round of 32,"Wednesday, July 1, at 5:00 PM",[1D],,,[3BEFIJ],81,"Levi's Stadium, Santa Clara",,,,
Round of 32,"Thursday, July 2, at 12:00 PM",[1H],,,[2J],84,"Sofi Stadium, Inglewood",,,,
Round of 32,"Thursday, July 2, at 4:00 PM",[2K],,,[2L],83,"BMO Field, Toronto",,,,
Round of 32,"Thursday, July 2, at 8:00 PM",[1B],,,[3EFGIJ],85,"BC Place, Vancouver",,,,
Round of 32,"Friday, July 3, at 11:00 AM",[2D],,,[2G],88,"AT&T Stadium, Arlington",,,,
Round of 32,"Friday, July 3, at 3:00 PM",[1J],,,[2H],86,"Hard Rock Stadium, Miami Gardens",,,,
Round of 32,"Friday, July 3, at 6:30 PM",[1K],,,[3DEIJL],87,"Arrowhead Stadium, Kansas City",,,,
Round of 16,"Saturday, July 4, at 10:00 AM",[W73],,,[W75],90,"NRG Stadium, Houston",,,,
Round of 16,"Saturday, July 4, at 2:00 PM",[W74],,,[W77],89,"Lincoln Financial Field, Philadelphia",,,,
Round of 16,"Sunday, July 5, at 1:00 PM",[W76],,,[W78],91,"MetLife Stadium, East Rutherford",,,,
Round of 16,"Sunday, July 5, at 5:00 PM",[W79],,,[W80],92,"Estadio Azteca, Mexico City",,,,
Round of 16,"Monday, July 6, at 12:00 PM",[W83],,,[W84],93,"AT&T Stadium, Arlington",,,,
Round of 16,"Monday, July 6, at 5:00 PM",[W81],,,[W82],94,"Lumen Field, Seattle",,,,
Round of 16,"Tuesday, July 7, at 9:00 AM",[W86],,,[W88],95,"Mercedes-Benz Stadium, Atlanta",,,,
Round of 16,"Tuesday, July 7, at 1:00 PM",[W85],,,[W87],96,"BC Place, Vancouver",,,,
Quarterfinals,"Thursday, July 9, at 1:00 PM",[W89],,,[W90],97,"Gillette Stadium, Foxborough",,,,
Quarterfinals,"Friday, July 10, at 12:00 PM",[W93],,,[W94],98,"Sofi Stadium, Inglewood",,,,
Quarterfinals,"Saturday, July 11, at 2:00 PM",[W91],,,[W92],99,"Hard Rock Stadium, Miami Gardens",,,,
Quarterfinals,"Saturday, July 11, at 6:00 PM",[W95],,,[W96],100,"Arrowhead Stadium, Kansas City",,,,
Semifinals,"Tuesday, July 14, at 12:00 PM",[W97],,,[W98],101,"AT&T Stadium, Arlington",,,,
Semifinals,"Wednesday, July 15, at 12:00 PM",[W99],,,[W100],102,"Mercedes-Benz Stadium, Atlanta",,,,
Third Place,"Saturday, July 18, at 2:00 PM",[L101],,,[L102],103,"Hard Rock Stadium, Miami Gardens",,,,
Final,"Sunday, July 19, at 12:00 PM",[W101],,,[W102],104,"MetLife Stadium, East Rutherford",,,,
